キャラ名;スマイル;ピュア;クール
[N] 桜坂しずく 【スマイル】;1340;690;500
[N] 宮下ココ 【ピュア】;560;1370;620
[N] 逢沢遊宇 【クール】;590;570;1420
[N] 一之瀬マリカ 【スマイル】;1460;640;570
[N] 結城紗菜 【ピュア】;510;1500;720
[N] 西村文絵 【クール】;640;590;1500
[N] 永山みなみ 【スマイル】;1550;650;590
[N] クリスティーナ 【ピュア】;640;1590;610
[N] 菊池朱美 【クール】;750;510;1680
[N] 須田いるか 【スマイル】;1740;740;520
[N] 杉崎亜矢 【ピュア】;610;1780;660
[N] 御堂優理 【クール】;740;550;1820
[N] 佐伯麗音 【スマイル】;1900;790;500
[N] 鳥居歩美 【ピュア】;590;1900;670
[N] 神谷理華 【クール】;800;520;1920
[N] 森嶋ななか 【スマイル】;1980;690;670
[N] 九条聖来 【ピュア】;580;1980;810
[N] 近江彼方 【クール】;690;690;2060
[N] 近江遥 【スマイル】;2140;840;550
[N] 下園咲 【ピュア】;690;2170;680
[N] 田中さち子 【クール】;820;580;2220
[N] 支倉かさね 【スマイル】;2560;1040;730
[N] 多々良るう 【ピュア】;730;2590;1010
[N] 篠宮あきる 【クール】;1020;740;2650
[N] 吉川瑞希 【スマイル】;2710;1100;980
[N] 白木凪 【ピュア】;880;2760;1230
[N] 藤城悠弓 【クール】;1130;980;2790
[N] 黒崎隼 【スマイル】;2170;640;840
[N] 門田剣 【クール】;890;710;2050
[N] 設楽ふみ 【ピュア】;730;2370;1000
[N] 桐原優香 【ピュア】;590;1800;810
[N] 斉木風 【スマイル】;2410;970;720
[N] 坂巻千鶴子 【ピュア】;980;1910;510
[N] 志賀仁美 【クール】;730;590;2080
[N] 福原命 【スマイル】;2180;750;1170
[N] 鬼崎アキラ 【スマイル】;1630;610;820
[N] 月島結架 【スマイル】;1660;600;750
[N] 兵藤さゆり 【クール】;680;940;2030
[N] 蘭花 【ピュア】;890;1820;520
[N] 紫藤美咲 【クール】;1010;640;2000
[N] ラクシャータ 【ピュア】;590;2120;790
[N] レベッカ 【クール】;780;570;2150
[N] 綾小路姫乃 【スマイル】;2060;990;600
[N] 黒羽咲良 【クール】;570;850;2080
[N] 黒羽咲夜 【ピュア】;920;2100;630
[N] 白瀬小雪 【ピュア】;550;2070;780
[N] 相川涼 【クール】;780;990;2230
[N] イザベラ 【クール】;730;560;2110
[N] エマ 【スマイル】;2270;950;780
[N] 高天原睦月 【ピュア】;870;2040;490
[N] ジェニファー 【スマイル】;2320;760;920
[N] マリア 【クール】;500;810;2190
[N] レオ 【スマイル】;2300;800;950
[N] 早乙女紫 【ピュア】;840;2240;570
[N] 近江彼方 【ピュア】;620;2140;720
